,stemmed_tokens
402,"['kak', 'makan', 'game', 'ets2']"
403,"['gan', 'opsi', 'spek', 'vesta', '8gb', 'vganya', 'ganti', 'vga', 'gt1030']"
404,"['halo mau', 'monitor', 'iya']"
405,"['min', 'cover', 'pcnya', 'kayak', 'pc', 'kantor', 'warna2i', 'kayak', 'foto']"
406,"['kirim', 'timor', '-', 'leste', 'aplikasi', 'editng', 'sofware', 'terimah', 'kasih']"
407,"['kak', 'pc', 'fullsetnya', 'wifinya']"
408,"['wow', 'classic', 'rata', 'kanan', 'min', 'kirim', 'papua']"
409,"['makan', 'genshin', 'impact', 'medium', '60fps', 'kuat']"
410,"['kirim', 'wilayah', 'jawa', 'tambah', 'packing', 'kayu']"
411,"['full', 'set', 'monitor', 'support', '4k', 'kak']"
412,"['pc', 'nih', 'kuat', 'main', 'game', 'iya', 'gan']"
413,[]
414,"['on', 'keyboard', 'mouse', 'jual', 'pisah', 'paket', 'pc', 'om']"
415,"['kak', 'install', 'games', 'pes', 'gta', 'dll']"
416,"['min', 'lampu', 'disync', 'pakai', 'app', 'mobonya']"
417,"['rtx', '3050', '6gb', 'merk']"
418,"['sorry', 'tanya', 'part', 'build', 'garansi', 'resmi']"
419,"['genshin', 'kak']"
420,"['makan', 'watt', 'abang', 'pcnya', 'pakai', 'rtx', '3050', '8gb']"
421,"['storagenya', 'gb', 'bro']"
422,"['kak', 'varian', 'dah', 'n30', 'white', 'casing', 'spek', 'kayak', 'deskripsi']"
423,"['kak', 'makan', 'game', 'valorant', 'fps', 'stabil']"
424,"['ssd', 'up', '512gb', 'mobo', 'ganti', 'b660m', 'gan']"
425,"['gan', 'ssd', 'up', '512', 'tambah']"
426,"['gamenya', 'pilih', 'dilist', 'pilih']"
427,"['lancar', 'lumion', '11', 'gan']"
428,"['vga', 'gan']"
429,"['varian', 'rtx', '3060', '12', 'gb', 'cooler', 'ganti', 'jonsbo', '1400', 'total']"
430,"['gin', 'rp13150000', 'pakai', '3060', 'ti']"
431,"['vga', 'ganti', 'rtx', '3060', 'ti', 'gan']"
432,"['stok', 'monitor', 'keyboard', 'mouse', 'gan']"
433,"['vga', 'ganti', '3070', 'gan', 'merk', 'vga']"
